mes;dia;santo
8;22;María Reina
8;23;Donato
8;24;Bartolomé
8;25;Luís (rey), José Calasanz
8;26;Teresa de Jesús Jornet e Ibars, César
8;27;Mónica
8;28;Agustín
8;29;Juan Bautista, Sabina
8;30;Rosa de Lima
8;31;Ramón
9;1;Arturo
9;2;Moisés
9;3;Gregorio Magno
9;4;Irma
9;5;Victorino
9;6;Eva, Evelyne
9;7;Regina
9;8;Natividad de la Virgen
9;9;Sergio y Omar
9;10;Nicolás de Tolentino, Adalberto
9;11;Orlando, Rolando
9;12;María
9;13;Juan Crisóstomo
9;14;Imelda
9;15;N.Sra.de Dolores
9;16;Cornelio, Cipriano
9;17;Roberto Belarmino
9;18;José de Cupertino
9;19;Jenaro
9;20;Amelia, Andrés Kim y Pablo Tung
9;21;Mateo
9;22;Mauricio
9;23;Lino y Tecla
9;24;N.Sra.del Carmen
9;25;Aurelio
9;26;Cosme y Damián
9;27;Vicente de Paul
9;28;Wenceslao
9;29;Miguel, Gabriel y Rafael
9;30;Jerónimo
10;1;Teresita del Niño Jesús
10;2;Angeles Custodios
10;3;Gerardo
10;4;Francisco de Asís
10;5;Flor
10;6;Bruno
10;7;N.Sra.del Rosario
10;8;N.Sra.de Begoña
10;9;"Dionisio; Juan Leonardi"
10;10;Francisco de Borja
10;11;Soledad
10;12;N.Sra.del Pilar
10;13;Eduardo
10;14;Calixto
10;15;Teresa de Avila
10;16;Eduvigis, Margarita Ma.Alacoque
10;17;Ignacio de Antioquía
10;18;Lucas
10;19;Pablo de la Cruz, Renato
10;20;Irene
10;21;Úrsula
10;22;Sara
10;23;Juan Capistrano, Remigio
10;24;Antonio Ma.Claret
10;25;Olga
10;26;Darío
10;27;Gustavo
10;28;Simón, Judas
10;29;Narciso
10;30;Alonso
10;31;Quintin
11;1;Todos los Santos
11;2;Todos los Fieles difuntos
11;3;Martín de Porres
11;4;Carlos Borromeo
11;5;Silvia
11;6;Leonardo
11;7;Ernesto-ina
11;8;Ninfa, Godofredo
11;9;Teodoro
11;10;León Magno
11;11;Martín de Tours
11;12;Cristián
11;13;Diego
11;14;Humberto
11;15;Alberto Magno
11;16;Margarita, Gertrudis
11;17;Isabel de Hungría
11;18;Elsa
11;19;Andrés Avelino
11;20;Edmundo
11;21;Presentación de la Virgen
11;22;Cecilia
11;23;Clemento, Columbano
11;24;Flora, Andrés Dung-Lac
11;25;Catalina Labouré
11;26;Delfina
11;27;Virgilio
11;28;Blanca
11;29;Saturnino
11;30;Andrés
12;1;Florencia
12;2;Viviana
12;3;Francisco Javier
12;4;Juan Damaceno, Bárbara
12;5;Ada
12;6;Nicolás
12;7;Ambrosio
12;8;Inmaculada Concepción
12;9;Jéssica
12;10;N. Sra. de Loreto, Eulalia
12;11;Dámaso
12;12;N. Sra. de Guadalupe
12;13;Lucía
12;14;Juan de la Cruz
12;15;Reinaldo
12;16;Alicia
12;17;Lázaro
12;18;Sonia
12;19;Urbano
12;20;Abrahám, Isaac, Jacob
12;21;Pedro Canisio
12;22;Fabiola
12;23;Victoria
12;24;Adela
12;25;Natividad del Señor (Noel, Noelia)
12;26;Esteban
12;27;Juan
12;28;Stos. Inocentes
12;29;Tomás Becket, David
12;30;Rogelio
12;31;Silvestre
